T,H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO,Z
2.94E+002,0.00E+000,0.00E+000,0.00E+000,1.97E-001,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,1.56E-001,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,6.47E-001,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,1.00E+000
2.94E+002,9.18E-007,5.65E-022,4.72E-014,1.97E-001,7.79E-015,4.02E-007,9.57E-011,1.26E-011,4.88E-040,4.54E-041,1.83E-023,6.57E-025,4.29E-011,1.56E-001,8.89E-008,1.69E-008,6.26E-023,3.17E-010,2.51E-025,2.34E-013,2.38E-011,7.52E-035,3.36E-010,5.24E-026,7.48E-010,1.45E-016,5.02E-010,1.96E-023,3.12E-011,8.59E-014,6.36E-020,1.21E-020,2.53E-013,1.37E-012,1.18E-030,2.28E-011,3.62E-012,2.41E-014,4.48E-015,6.18E-036,1.32E-012,4.91E-017,8.07E-041,1.58E-013,1.08E-015,6.20E-013,1.56E-016,6.47E-001,0.00E+000,1.16E-015,7.77E-013,5.15E-021,1.68E-012,1.00E+000
2.94E+002,4.63E-006,1.49E-020,2.91E-013,1.97E-001,5.95E-014,2.83E-006,6.90E-010,9.08E-011,5.90E-041,1.77E-038,8.62E-022,3.52E-023,3.01E-010,1.56E-001,6.41E-007,1.37E-007,2.69E-021,2.61E-009,1.54E-023,2.04E-012,1.97E-010,4.57E-033,2.67E-009,3.17E-024,6.06E-009,1.30E-015,4.23E-009,8.23E-022,2.76E-010,7.59E-013,4.06E-019,8.69E-020,1.54E-012,9.72E-012,3.12E-029,1.65E-010,2.81E-011,1.97E-013,3.24E-014,3.89E-034,1.10E-011,4.09E-016,2.83E-038,1.29E-012,8.79E-015,5.06E-012,1.27E-015,6.47E-001,0.00E+000,1.11E-014,7.48E-012,1.14E-019,1.49E-011,1.00E+000
2.94E+002,9.55E-006,1.23E-019,7.29E-013,1.97E-001,2.70E-013,8.11E-006,2.03E-009,2.68E-010,7.60E-041,1.07E-036,1.05E-020,4.56E-022,8.61E-010,1.56E-001,1.89E-006,4.58E-007,3.10E-020,8.79E-009,2.34E-022,8.32E-012,6.71E-010,6.79E-032,8.70E-009,4.77E-023,2.01E-008,5.48E-015,1.46E-008,7.11E-021,1.00E-009,2.75E-012,1.06E-018,3.58E-019,3.82E-012,2.82E-011,2.57E-028,4.88E-010,8.95E-011,6.61E-013,9.57E-014,6.02E-033,3.74E-011,1.40E-015,1.71E-036,4.32E-012,2.94E-014,1.69E-011,4.24E-015,6.47E-001,0.00E+000,4.39E-014,2.96E-011,8.97E-019,5.45E-011,1.00E+000
2.94E+002,1.59E-005,7.56E-019,1.49E-012,1.97E-001,1.09E-012,1.92E-005,4.92E-009,6.52E-010,1.28E-039,4.35E-035,9.48E-020,4.35E-021,2.03E-009,1.56E-001,4.60E-006,1.27E-006,2.87E-019,2.47E-008,2.66E-021,2.97E-011,1.90E-009,7.54E-031,2.36E-008,5.34E-022,5.56E-008,2.06E-014,4.22E-008,4.52E-020,3.04E-009,8.38E-012,2.27E-018,1.36E-018,7.74E-012,6.73E-011,1.59E-027,1.19E-009,2.36E-010,1.85E-012,2.33E-013,6.99E-032,1.06E-010,3.98E-015,6.92E-035,1.20E-011,8.19E-014,4.71E-011,1.18E-014,6.47E-001,0.00E+000,1.47E-013,9.92E-011,5.01E-018,1.67E-010,1.00E+000
2.94E+002,2.41E-005,4.14E-018,2.78E-012,1.97E-001,4.07E-012,4.14E-005,1.09E-008,1.45E-009,7.42E-039,1.43E-033,7.36E-019,3.49E-020,4.36E-009,1.56E-001,1.02E-005,3.26E-006,2.45E-018,6.39E-008,2.58E-020,9.94E-011,4.96E-009,7.15E-030,5.86E-008,5.07E-021,1.41E-007,7.35E-014,1.12E-007,2.71E-019,8.53E-009,2.35E-011,4.43E-018,4.98E-018,1.43E-011,1.47E-010,8.85E-027,2.66E-009,5.72E-010,4.74E-012,5.20E-013,6.94E-031,2.77E-010,1.04E-014,2.27E-033,3.08E-011,2.10E-013,1.21E-010,3.01E-014,6.47E-001,0.00E+000,4.52E-013,3.06E-010,2.37E-017,4.69E-010,1.00E+000
2.95E+002,3.42E-005,2.13E-017,4.89E-012,1.97E-001,1.40E-011,8.45E-005,2.28E-008,3.05E-009,1.60E-038,3.99E-032,5.05E-018,2.44E-019,8.86E-009,1.56E-001,2.15E-005,7.85E-006,1.92E-017,1.56E-007,2.17E-019,3.14E-010,1.22E-008,6.05E-029,1.37E-007,4.22E-020,3.38E-007,2.50E-013,2.80E-007,1.67E-018,2.25E-008,6.21E-011,8.18E-018,1.76E-017,2.48E-011,3.03E-010,4.64E-026,5.60E-009,1.31E-009,1.15E-011,1.09E-012,6.13E-030,6.80E-010,2.58E-014,6.30E-032,7.45E-011,5.07E-013,2.92E-010,7.26E-014,6.47E-001,0.00E+000,1.31E-012,8.92E-010,1.01E-016,1.25E-009,1.00E+000
2.96E+002,4.68E-005,1.04E-016,8.24E-012,1.97E-001,4.44E-011,1.64E-004,4.55E-008,6.12E-009,2.10E-039,9.64E-031,3.07E-017,1.51E-018,1.72E-008,1.56E-001,4.30E-005,1.80E-005,1.37E-016,3.61E-007,1.61E-018,9.40E-010,2.86E-008,4.68E-028,3.07E-007,3.11E-019,7.70E-007,8.19E-013,6.67E-007,1.05E-017,5.66E-008,1.56E-010,1.45E-017,6.02E-017,4.12E-011,5.96E-010,2.36E-025,1.13E-008,2.84E-009,2.64E-011,2.20E-012,4.92E-029,1.59E-009,6.07E-014,1.51E-030,1.71E-010,1.17E-012,6.70E-010,1.67E-013,6.47E-001,0.00E+000,3.61E-012,2.46E-009,4.03E-016,3.15E-009,9.99E-001
2.98E+002,6.20E-005,4.79E-016,1.34E-011,1.96E-001,1.29E-010,3.07E-004,8.68E-008,1.18E-008,1.95E-038,2.03E-029,1.65E-016,8.22E-018,3.20E-008,1.56E-001,8.25E-005,3.94E-005,8.65E-016,7.97E-007,1.04E-017,2.65E-009,6.38E-008,3.39E-027,6.54E-007,2.04E-018,1.67E-006,2.56E-012,1.51E-006,6.50E-017,1.35E-007,3.72E-010,2.47E-017,1.98E-016,6.59E-011,1.12E-009,1.17E-024,2.17E-008,5.91E-009,5.81E-011,4.23E-012,3.67E-028,3.55E-009,1.36E-013,3.15E-029,3.75E-010,2.56E-012,1.47E-009,3.65E-013,6.47E-001,0.00E+000,9.46E-012,6.44E-009,1.53E-015,7.55E-009,9.99E-001
3.01E+002,8.03E-005,2.08E-015,2.12E-011,1.96E-001,3.43E-010,5.49E-004,1.59E-007,2.17E-008,1.67E-038,3.68E-028,7.82E-016,3.95E-017,5.73E-008,1.56E-001,1.52E-004,8.22E-005,4.79E-015,1.68E-006,5.81E-017,7.00E-009,1.36E-007,2.38E-026,1.33E-006,1.19E-017,3.48E-006,7.61E-012,3.27E-006,3.73E-016,3.07E-007,8.46E-010,4.10E-017,6.30E-016,1.02E-010,2.03E-009,5.78E-024,4.01E-008,1.17E-008,1.22E-010,7.81E-012,2.61E-027,7.56E-009,2.90E-013,5.62E-028,7.86E-010,5.35E-012,3.08E-009,7.62E-013,6.47E-001,0.00E+000,2.35E-011,1.60E-008,5.64E-015,1.72E-008,9.98E-001
3.05E+002,1.02E-004,8.46E-015,3.27E-011,1.96E-001,8.24E-010,9.45E-004,2.78E-007,3.82E-008,2.65E-038,5.68E-027,3.24E-015,1.67E-016,9.90E-008,1.55E-001,2.69E-004,1.64E-004,2.29E-014,3.37E-006,2.79E-016,1.73E-008,2.75E-007,1.68E-025,2.59E-006,6.20E-017,6.89E-006,2.14E-011,6.74E-006,1.93E-015,6.62E-007,1.82E-009,6.61E-017,1.92E-015,1.53E-010,3.53E-009,2.85E-023,7.12E-008,2.22E-008,2.44E-010,1.38E-011,1.84E-026,1.53E-008,5.91E-013,8.40E-027,1.57E-009,1.07E-011,6.14E-009,1.52E-012,6.48E-001,0.00E+000,5.55E-011,3.75E-008,2.10E-014,3.73E-008,9.96E-001
3.13E+002,1.27E-004,3.19E-014,4.93E-011,1.95E-001,1.78E-009,1.56E-003,4.68E-007,6.46E-008,2.25E-036,7.29E-026,1.17E-014,6.20E-016,1.66E-007,1.54E-001,4.57E-004,3.11E-004,9.43E-014,6.43E-006,1.14E-015,3.98E-008,5.30E-007,1.25E-024,4.82E-006,2.91E-016,1.30E-005,5.65E-011,1.32E-005,8.76E-015,1.35E-006,3.73E-009,1.04E-016,5.62E-015,2.23E-010,5.89E-009,1.44E-022,1.21E-007,3.99E-008,4.65E-010,2.36E-011,1.33E-025,2.95E-008,1.14E-012,1.03E-025,2.98E-009,2.03E-011,1.17E-008,2.89E-012,6.48E-001,0.00E+000,1.24E-010,8.33E-008,8.03E-014,7.66E-008,9.94E-001
