T,H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO,Z
2.94E+002,0.00E+000,0.00E+000,0.00E+000,1.97E-001,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,1.56E-001,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,6.47E-001,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,1.00E+000
2.94E+002,1.20E-007,5.60E-023,5.39E-015,1.97E-001,6.29E-016,3.85E-008,9.28E-012,1.25E-012,6.93E-040,1.52E-043,6.08E-025,5.30E-027,4.16E-012,1.56E-001,8.30E-009,1.40E-009,2.49E-024,2.72E-011,3.06E-027,1.79E-014,1.99E-012,4.86E-037,2.46E-011,5.83E-028,6.06E-011,1.08E-017,4.04E-011,9.15E-025,2.38E-012,5.81E-015,5.87E-021,8.74E-022,2.35E-014,9.46E-014,1.17E-031,1.73E-012,2.61E-013,2.19E-015,3.51E-016,4.25E-038,8.50E-014,3.19E-018,3.86E-043,1.00E-014,7.15E-017,4.04E-014,1.21E-017,6.47E-001,0.00E+000,8.00E-017,5.68E-014,4.33E-022,1.40E-013,1.00E+000
2.94E+002,2.91E-006,3.52E-021,1.61E-013,1.97E-001,1.97E-014,1.32E-006,3.27E-010,4.41E-011,2.66E-040,9.32E-040,1.42E-022,5.50E-024,1.43E-010,1.56E-001,2.93E-007,5.60E-008,4.96E-022,1.10E-009,2.13E-024,7.32E-013,8.10E-011,5.43E-034,9.61E-010,4.18E-025,2.41E-009,4.50E-016,1.67E-009,1.61E-022,1.04E-010,2.53E-013,1.82E-019,2.65E-020,6.96E-013,3.28E-012,7.37E-030,6.14E-011,9.96E-012,8.81E-014,1.24E-014,4.06E-035,3.47E-012,1.30E-016,1.49E-039,4.01E-013,2.87E-015,1.62E-012,4.85E-016,6.47E-001,0.00E+000,3.79E-015,2.70E-012,2.63E-020,6.12E-012,1.00E+000
2.94E+002,6.66E-006,3.38E-020,4.50E-013,1.97E-001,9.60E-014,4.22E-006,1.07E-009,1.44E-010,2.82E-040,7.09E-038,2.04E-021,8.53E-023,4.53E-010,1.56E-001,9.59E-007,2.07E-007,6.40E-021,4.11E-009,3.84E-023,3.25E-012,3.05E-010,9.59E-033,3.47E-009,7.48E-024,8.87E-009,2.07E-015,6.41E-009,1.67E-021,4.17E-010,1.01E-012,5.28E-019,1.16E-019,1.92E-012,1.06E-011,7.07E-029,2.01E-010,3.52E-011,3.27E-013,4.07E-014,7.46E-034,1.31E-011,4.94E-016,1.13E-037,1.49E-012,1.06E-014,6.01E-012,1.80E-015,6.47E-001,0.00E+000,1.66E-014,1.18E-011,2.46E-019,2.47E-011,1.00E+000
2.94E+002,1.16E-005,2.19E-019,9.67E-013,1.97E-001,4.07E-013,1.05E-005,2.73E-009,3.70E-010,3.64E-041,3.22E-036,2.01E-020,8.98E-022,1.12E-009,1.56E-001,2.45E-006,6.07E-007,6.04E-020,1.22E-008,4.80E-022,1.22E-011,9.13E-010,1.17E-031,9.89E-009,9.23E-023,2.58E-008,8.09E-015,1.95E-008,1.11E-020,1.34E-009,3.26E-012,1.19E-018,4.54E-019,4.09E-012,2.66E-011,4.59E-028,5.17E-010,9.78E-011,9.63E-013,1.04E-013,9.52E-033,3.90E-011,1.48E-015,5.13E-036,4.36E-012,3.12E-014,1.76E-011,5.26E-015,6.47E-001,0.00E+000,5.83E-014,4.17E-011,1.51E-018,7.96E-011,1.00E+000
2.94E+002,1.80E-005,1.23E-018,1.86E-012,1.97E-001,1.59E-012,2.36E-005,6.28E-009,8.57E-010,7.34E-039,1.17E-034,1.69E-019,7.86E-021,2.51E-009,1.56E-001,5.67E-006,1.61E-006,5.30E-019,3.27E-008,5.07E-021,4.23E-011,2.48E-009,1.20E-030,2.56E-008,9.58E-022,6.82E-008,2.97E-014,5.39E-008,6.68E-020,3.91E-009,9.53E-012,2.40E-018,1.70E-018,7.79E-012,6.03E-011,2.61E-027,1.20E-009,2.47E-010,2.57E-012,2.42E-013,1.03E-031,1.06E-010,4.05E-015,1.85E-034,1.16E-011,8.33E-014,4.71E-011,1.40E-014,6.47E-001,0.00E+000,1.88E-013,1.35E-010,7.66E-018,2.34E-010,1.00E+000
2.95E+002,2.61E-005,6.47E-018,3.37E-012,1.97E-001,5.79E-012,4.97E-005,1.36E-008,1.86E-009,9.02E-039,3.59E-033,1.25E-018,5.99E-020,5.27E-009,1.56E-001,1.23E-005,4.04E-006,4.41E-018,8.29E-008,4.68E-020,1.39E-010,6.35E-009,1.09E-029,6.24E-008,8.70E-021,1.70E-007,1.05E-013,1.40E-007,4.05E-019,1.08E-008,2.62E-011,4.56E-018,6.12E-018,1.39E-011,1.28E-010,1.39E-026,2.61E-009,5.85E-010,6.48E-012,5.27E-013,9.77E-031,2.72E-010,1.04E-014,5.68E-033,2.92E-011,2.09E-013,1.18E-010,3.50E-014,6.47E-001,0.00E+000,5.69E-013,4.09E-010,3.47E-017,6.48E-010,1.00E+000
2.95E+002,3.63E-005,3.24E-017,5.82E-012,1.97E-001,1.95E-011,9.98E-005,2.80E-008,3.86E-009,2.00E-038,9.54E-032,8.30E-018,4.04E-019,1.05E-008,1.56E-001,2.55E-005,9.62E-006,3.38E-017,1.99E-007,3.81E-019,4.34E-010,1.54E-008,9.00E-029,1.44E-007,7.00E-020,4.01E-007,3.53E-013,3.47E-007,2.57E-018,2.81E-008,6.85E-011,8.29E-018,2.14E-017,2.37E-011,2.61E-010,7.14E-026,5.43E-009,1.32E-009,1.55E-011,1.09E-012,8.39E-030,6.60E-010,2.54E-014,1.50E-031,6.97E-011,4.98E-013,2.82E-010,8.34E-014,6.47E-001,0.00E+000,1.63E-012,1.18E-009,1.44E-016,1.70E-009,1.00E+000
2.96E+002,4.88E-005,1.55E-016,9.69E-012,1.96E-001,6.04E-011,1.92E-004,5.53E-008,7.66E-009,9.93E-038,2.22E-030,4.89E-017,2.42E-018,2.02E-008,1.56E-001,5.05E-005,2.18E-005,2.35E-016,4.58E-007,2.73E-018,1.28E-009,3.58E-008,6.83E-028,3.19E-007,5.01E-019,9.05E-007,1.14E-012,8.18E-007,1.66E-017,6.99E-008,1.70E-010,1.45E-017,7.22E-017,3.89E-011,5.08E-010,3.59E-025,1.08E-008,2.84E-009,3.53E-011,2.17E-012,6.60E-029,1.53E-009,5.92E-014,3.48E-030,1.59E-010,1.13E-012,6.41E-010,1.89E-013,6.47E-001,0.00E+000,4.46E-012,3.22E-009,5.65E-016,4.25E-009,9.99E-001
2.98E+002,6.39E-005,7.08E-016,1.56E-011,1.96E-001,1.72E-010,3.55E-004,1.04E-007,1.46E-008,3.55E-037,4.51E-029,2.56E-016,1.28E-017,3.73E-008,1.56E-001,9.60E-005,4.73E-005,1.44E-015,1.00E-006,1.71E-017,3.55E-009,7.90E-008,4.90E-027,6.74E-007,3.19E-018,1.95E-006,3.52E-012,1.84E-006,1.02E-016,1.65E-007,4.02E-010,2.46E-017,2.35E-016,6.17E-011,9.48E-010,1.78E-024,2.06E-008,5.84E-009,7.69E-011,4.14E-012,4.86E-028,3.38E-009,1.31E-013,6.97E-029,3.45E-010,2.46E-012,1.39E-009,4.11E-013,6.47E-001,0.00E+000,1.15E-011,8.33E-009,2.12E-015,1.01E-008,9.99E-001
