T,H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO,Z
2.94E+002,0.00E+000,0.00E+000,0.00E+000,1.97E-001,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,1.56E-001,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,6.47E-001,0.00E+000,0.00E+000,0.00E+000,0.00E+000,0.00E+000,1.00E+000
2.94E+002,3.18E-007,3.10E-025,7.83E-016,1.97E-001,9.59E-019,7.76E-009,8.92E-013,1.32E-013,3.07E-043,6.74E-046,7.07E-028,1.05E-030,5.60E-013,1.56E-001,1.46E-009,1.27E-010,4.44E-027,1.62E-012,8.63E-031,4.00E-017,1.23E-013,1.65E-040,6.02E-012,7.72E-032,6.37E-012,1.07E-020,2.63E-012,4.89E-027,1.45E-013,7.62E-016,3.28E-022,8.95E-025,1.53E-014,1.37E-013,6.47E-034,9.34E-013,9.39E-014,1.42E-016,7.65E-017,1.78E-041,3.00E-014,5.92E-019,1.71E-045,4.54E-015,2.51E-017,1.52E-014,4.79E-019,6.47E-001,0.00E+000,3.05E-018,1.36E-015,4.41E-025,3.65E-015,1.00E+000
2.94E+002,1.32E-006,6.71E-024,4.25E-015,1.97E-001,7.35E-018,5.01E-008,5.93E-012,8.80E-013,1.57E-042,3.15E-046,2.85E-026,5.19E-029,3.60E-012,1.56E-001,9.73E-009,9.86E-010,1.60E-025,1.27E-011,3.96E-029,3.64E-016,9.77E-013,9.53E-039,4.52E-011,4.30E-030,4.90E-011,1.00E-019,2.12E-011,1.90E-025,1.24E-012,6.52E-015,1.87E-021,7.21E-024,8.23E-014,8.93E-013,1.40E-032,6.25E-012,6.87E-013,1.10E-015,5.11E-016,1.07E-039,2.38E-013,4.71E-018,9.96E-046,3.53E-014,1.95E-016,1.18E-013,3.71E-018,6.47E-001,0.00E+000,2.88E-017,1.29E-014,1.29E-023,3.14E-014,1.00E+000
2.94E+002,2.83E-006,4.57E-023,1.20E-014,1.97E-001,4.49E-017,1.69E-007,2.07E-011,3.08E-012,2.94E-042,1.19E-044,3.32E-025,1.07E-027,1.21E-011,1.56E-001,3.40E-008,4.03E-009,1.82E-024,5.27E-011,5.93E-028,2.13E-015,4.09E-012,2.31E-037,1.79E-010,9.37E-029,1.99E-010,6.18E-019,9.05E-011,2.11E-024,5.60E-012,2.95E-014,5.59E-021,4.20E-023,2.29E-013,3.05E-012,9.55E-032,2.19E-011,2.64E-012,4.53E-015,1.79E-015,2.68E-038,9.95E-013,1.98E-017,1.11E-044,1.44E-013,7.98E-016,4.85E-013,1.51E-017,6.47E-001,0.00E+000,1.45E-016,6.49E-014,1.43E-022,1.43E-013,1.00E+000
2.94E+002,5.04E-006,2.43E-022,2.86E-014,1.97E-001,2.78E-016,4.88E-007,6.18E-011,9.23E-012,1.66E-041,3.52E-043,2.97E-024,1.90E-026,3.47E-011,1.56E-001,1.02E-007,1.43E-008,1.55E-023,1.89E-010,8.39E-027,1.15E-014,1.49E-011,4.91E-036,6.15E-010,1.86E-027,6.99E-010,3.53E-018,3.36E-010,1.73E-023,2.22E-011,1.17E-013,1.42E-020,2.18E-022,5.38E-013,8.93E-012,5.08E-031,6.58E-011,8.79E-012,1.61E-014,5.37E-015,5.98E-037,3.62E-012,7.25E-017,5.77E-043,5.13E-013,2.84E-015,1.72E-012,5.37E-017,6.47E-001,0.00E+000,6.39E-016,2.88E-013,1.19E-021,5.69E-013,1.00E+000
2.94E+002,8.20E-006,1.26E-021,6.30E-014,1.97E-001,1.68E-015,1.31E-006,1.71E-010,2.57E-011,1.54E-041,1.78E-041,2.48E-023,3.05E-025,9.26E-011,1.56E-001,2.83E-007,4.71E-008,1.17E-022,6.34E-010,1.31E-025,5.85E-014,5.03E-011,9.47E-035,1.96E-009,3.51E-026,2.29E-009,1.93E-017,1.16E-009,1.22E-022,8.18E-011,4.32E-013,3.36E-020,1.06E-021,1.16E-012,2.43E-011,2.62E-030,1.84E-010,2.72E-011,5.36E-014,1.50E-014,1.22E-035,1.22E-011,2.47E-016,2.82E-041,1.70E-012,9.40E-015,5.71E-012,1.77E-016,6.47E-001,0.00E+000,2.64E-015,1.19E-012,8.50E-021,2.12E-012,1.00E+000
2.94E+002,1.26E-005,6.82E-021,1.31E-013,1.97E-001,9.60E-015,3.31E-006,4.50E-010,6.78E-011,1.05E-041,8.45E-040,2.09E-022,4.40E-024,2.34E-010,1.56E-001,7.44E-007,1.47E-007,8.60E-022,2.01E-009,2.13E-024,2.83E-013,1.61E-010,1.64E-033,5.93E-009,6.07E-025,7.10E-009,1.01E-016,3.80E-009,7.73E-022,2.86E-010,1.51E-012,7.52E-020,5.00E-021,2.39E-012,6.24E-011,1.43E-029,4.85E-010,7.96E-011,1.68E-013,3.96E-014,2.24E-034,3.92E-011,7.96E-016,1.34E-039,5.33E-012,2.94E-014,1.79E-011,5.54E-016,6.47E-001,0.00E+000,1.03E-014,4.65E-012,5.48E-020,7.43E-012,1.00E+000
2.94E+002,1.87E-005,3.94E-020,2.63E-013,1.97E-001,5.11E-014,8.03E-006,1.13E-009,1.71E-010,8.06E-041,4.08E-038,1.85E-021,5.65E-023,5.64E-010,1.56E-001,1.87E-006,4.38E-007,6.68E-021,6.04E-009,3.28E-023,1.29E-012,4.91E-010,2.52E-032,1.71E-008,9.44E-024,2.09E-008,5.06E-016,1.18E-008,4.55E-021,9.46E-010,4.99E-012,1.62E-019,2.32E-020,4.70E-012,1.53E-010,8.27E-029,1.22E-009,2.22E-010,5.03E-013,9.97E-014,3.64E-033,1.19E-010,2.44E-015,6.47E-038,1.59E-011,8.77E-014,5.33E-011,1.64E-015,6.47E-001,0.00E+000,3.79E-014,1.72E-011,3.22E-019,2.47E-011,1.00E+000
2.94E+002,2.68E-005,2.37E-019,5.05E-013,1.97E-001,2.51E-013,1.86E-005,2.70E-009,4.10E-010,3.67E-040,1.94E-036,1.67E-020,6.42E-022,1.30E-009,1.56E-001,4.49E-006,1.24E-006,5.83E-020,1.73E-008,4.59E-022,5.58E-012,1.42E-009,3.44E-031,4.67E-008,1.30E-022,5.87E-008,2.43E-015,3.48E-008,2.55E-020,2.97E-009,1.57E-011,3.34E-019,1.06E-019,8.90E-012,3.60E-010,5.00E-028,2.95E-009,5.90E-010,1.43E-012,2.40E-013,5.24E-032,3.46E-010,7.09E-015,3.08E-036,4.50E-011,2.49E-013,1.51E-010,4.65E-015,6.47E-001,0.00E+000,1.32E-013,6.03E-011,1.74E-018,7.82E-011,1.00E+000
2.95E+002,3.75E-005,1.43E-018,9.38E-013,1.97E-001,1.14E-012,4.13E-005,6.20E-009,9.45E-010,4.40E-040,8.72E-035,1.48E-019,6.43E-021,2.88E-009,1.56E-001,1.03E-005,3.33E-006,5.54E-019,4.72E-008,5.68E-021,2.26E-011,3.91E-009,4.17E-030,1.22E-007,1.58E-021,1.57E-007,1.11E-014,9.79E-008,1.44E-019,8.87E-009,4.68E-011,6.64E-019,4.86E-019,1.63E-011,8.10E-010,3.06E-027,6.81E-009,1.49E-009,3.87E-012,5.53E-013,6.68E-031,9.53E-010,1.97E-014,1.38E-034,1.21E-010,6.71E-013,4.07E-010,1.25E-014,6.47E-001,0.00E+000,4.38E-013,2.00E-010,8.71E-018,2.35E-010,1.00E+000
